ID,A,B,C,D,E
806912,.,.,1,1,1
806945,.,.,1,.,.
806948,0,.,.,.,.
806970,.,.,0,.,.
806985,.,.,.,.,1
807000,1,1,1,.,1
807006,1,1,.,.,.
807015,1,1,.,1,1
807022,1,1,1,1,.
807031,.,0,1,.,.
807040,0,1,1,1,1
807043,1,.,.,.,.
807049,0,0,0,.,.
807052,.,0,0,.,.
807058,1,.,1,1,1
807070,.,.,1,1,0
807083,1,1,1,1,1
807141,1,.,.,.,.
807159,1,.,.,.,.
807165,.,0,0,0,0
807171,0,0,1,1,1
807186,1,1,1,1,1
807211,.,.,1,1,1
807214,.,.,1,0,0
807220,.,0,0,0,0
807223,.,.,1,1,0
807238,1,1,0,1,1
807247,1,1,1,1,1
807254,.,.,.,.,1
807257,1,.,1,1,1
807266,1,1,1,.,.
807278,1,1,.,1,.
807284,1,1,1,1,.
807287,1,.,.,.,.
807293,.,.,1,1,1
807299,1,1,1,0,1
807305,0,.,.,.,.
807312,.,0,0,.,.
807324,1,1,.,.,.
807339,1,1,1,1,1
807342,1,.,1,1,.
807345,.,.,.,.,1
807360,1,1,1,1,.
807376,.,.,1,.,.
807385,0,0,0,.,.
807388,.,.,1,1,.
807391,0,.,0,.,.
807394,1,.,.,.,.
807397,.,1,1,1,1
807403,1,1,1,1,1
807409,.,.,.,1,1
807418,1,1,0,1,0
807421,1,1,.,1,1
807427,1,1,1,1,1
807431,1,1,1,1,1
807476,.,.,.,1,.
807479,1,1,1,1,1
807482,.,.,.,.,0
807485,.,1,.,.,.
807498,1,.,.,.,.
807522,.,0,0,1,1
807534,1,1,.,.,.
807543,.,1,1,.,.
807550,1,1,1,.,.
807559,0,1,1,1,.
807562,1,.,.,.,.
807568,.,.,.,.,1
807580,.,.,1,1,1
807589,.,0,.,.,.
807598,1,0,1,1,1
807608,1,1,.,.,.
807611,.,.,1,1,1
807623,1,1,1,1,0
807641,1,1,1,1,1
807659,1,1,1,1,1
807662,1,.,.,.,.
807687,.,.,1,1,.
807720,1,1,1,1,1
807723,1,1,1,1,.
807733,.,.,.,.,1
807742,1,1,0,1,1
807788,.,.,.,.,1
807803,0,.,.,.,.
807830,.,.,0,.,0
807836,1,.,1,.,.
807843,0,.,.,.,.
807849,.,.,.,.,0
807852,1,1,1,1,1
807861,.,0,0,1,1
807873,.,.,1,1,1
807891,1,.,1,1,1
807904,1,.,.,.,.
807916,.,.,.,.,1
807922,0,.,.,.,.
807925,1,.,.,.,.
807928,.,.,1,.,0
807943,1,1,1,1,.
807952,1,.,.,.,.
807965,1,.,.,.,.
807974,1,1,0,1,1
807977,1,1,1,1,1
807980,.,.,0,1,.
807983,1,1,0,1,1
807989,.,0,0,.,.
807992,.,.,1,1,1
807998,.,.,1,.,.
808013,1,.,.,.,.
808035,1,1,1,1,1
808041,1,.,.,.,.
808053,1,.,.,.,1
808065,1,.,1,.,.
808071,1,1,1,0,0
808074,1,.,.,.,.
808078,.,.,.,.,1
808087,.,.,.,1,1
808099,1,1,.,.,.
808114,.,.,1,1,.
808117,1,1,.,.,.
808120,.,.,1,.,1
808151,1,1,.,.,.
808172,.,.,.,1,.
808175,.,0,0,1,1
808197,.,.,.,1,1
808209,.,.,1,1,1
808221,1,1,0,1,1
808227,1,1,1,1,1
808236,.,.,1,1,1
808242,.,1,1,1,1
808248,1,1,1,.,.
808255,1,.,.,.,.
808264,1,1,1,1,1
808267,.,1,1,1,1
808279,1,1,1,1,1
808285,.,1,1,1,1
808294,.,1,.,.,.
808300,1,1,1,1,1
808328,1,.,.,.,.
808337,0,.,0,0,0
808352,1,1,1,1,1
808367,0,1,.,.,.
808389,1,1,1,.,.
808410,0,.,.,1,1
808416,1,1,1,1,1
808432,1,1,1,1,1
808450,1,.,.,.,.
808459,1,.,.,.,.
808471,0,0,.,.,0
